ID,Weight,Length,Width, Price 
615,120 ,700 ,1000 , 12.00 
616,270 ,700 ,1000 , 26.00 
617,360 ,700 ,1000 , 34.00 
618,145 ,787 ,1092 , 10.80 
619,225 ,787 ,1092 , 15.80 
620,310 ,787 ,1092 , 22.80 
621,145 ,787 ,1092 , 10.80 
622,225 ,787 ,1092 , 15.80 
623,310 ,787 ,1092 , 22.80 
624,145 ,787 ,1092 , 10.80 
625,225 ,787 ,1092 , 15.80 
626,310 ,787 ,1092 , 22.80 
627,145 ,787 ,1092 , 10.80 
628,225 ,787 ,1092 , 15.80 
629,310 ,787 ,1092 , 22.80 
630,145 ,787 ,1092 , 10.80 
631,225 ,787 ,1092 , 15.80 
632,310 ,787 ,1092 , 22.80 
633,145 ,787 ,1092 , 10.80 
634,225 ,787 ,1092 , 15.80 
635,310 ,787 ,1092 , 22.80 
636,145 ,787 ,1092 , 10.80 
637,225 ,787 ,1092 , 15.80 
638,310 ,787 ,1092 , 22.80 
639,145 ,787 ,1092 , 10.80 
640,225 ,787 ,1092 , 15.80 
641,310 ,787 ,1092 , 22.80 
642,145 ,787 ,1092 , 10.80 
643,225 ,787 ,1092 , 15.80 
644,310 ,787 ,1092 , 22.80 
645,145 ,787 ,1092 , 10.80 
646,225 ,787 ,1092 , 15.80 
647,310 ,787 ,1092 , 22.80 
648,,,,
